,ngram,company,value
190,debt_collection,State bank of india,18
191,mortgage_company,State bank of india,6
192,debt_collector,State bank of india,19
193,collect_debt,State bank of india,8
194,receive_call,State bank of india,4
195,try_get,State bank of india,33
196,short_sale,State bank of india,6
197,information_credit,State bank of india,104
198,day_late,State bank of india,39
199,us_bank,State bank of india,5
200,credit_report,HDFC bank,70
201,credit_card,HDFC bank,92
202,make_payment,HDFC bank,80
203,customer_service,HDFC bank,52
204,credit_reporting,HDFC bank,16
205,call_back,HDFC bank,44
206,phone_call,HDFC bank,47
207,collection_agency,HDFC bank,1
208,credit_bureaus,HDFC bank,14
209,credit_score,HDFC bank,23
210,30_day,HDFC bank,37
211,student_loan,HDFC bank,18
212,report_credit,HDFC bank,21
213,interest_rate,HDFC bank,54
214,receive_letter,HDFC bank,44
215,loan_modification,HDFC bank,71
216,late_payment,HDFC bank,39
217,late_fee,HDFC bank,29
218,even_though,HDFC bank,54
219,would_like,HDFC bank,46
220,send_letter,HDFC bank,33
221,never_receive,HDFC bank,35
222,monthly_payment,HDFC bank,32
223,reporting_agency,HDFC bank,9
224,identity_theft,HDFC bank,13
225,phone_number,HDFC bank,23
226,pay_full,HDFC bank,16
227,tell_would,HDFC bank,39
228,file_complaint,HDFC bank,28
229,past_due,HDFC bank,25
230,payment_make,HDFC bank,28
231,credit_bureau,HDFC bank,22
232,remove_credit,HDFC bank,8
233,social_security,HDFC bank,21
234,mortgage_payment,HDFC bank,54
235,please_help,HDFC bank,35
236,several_time,HDFC bank,31
237,credit_file,HDFC bank,4
238,year_ago,HDFC bank,26
239,say_would,HDFC bank,35
240,debt_collection,HDFC bank,6
241,mortgage_company,HDFC bank,27
242,debt_collector,HDFC bank,5
243,collect_debt,HDFC bank,11
244,receive_call,HDFC bank,18
245,try_get,HDFC bank,28
246,short_sale,HDFC bank,35
247,information_credit,HDFC bank,5
248,day_late,HDFC bank,29
249,us_bank,HDFC bank,7
250,credit_report,South Indian bank,93
251,credit_card,South Indian bank,144
252,make_payment,South Indian bank,71
253,customer_service,South Indian bank,64
254,credit_reporting,South Indian bank,24
255,call_back,South Indian bank,47
256,phone_call,South Indian bank,49
257,collection_agency,South Indian bank,9
258,credit_bureaus,South Indian bank,22
259,credit_score,South Indian bank,31
260,30_day,South Indian bank,31
261,student_loan,South Indian bank,1
262,report_credit,South Indian bank,21
263,interest_rate,South Indian bank,47
264,receive_letter,South Indian bank,60
265,loan_modification,South Indian bank,63
266,late_payment,South Indian bank,30
267,late_fee,South Indian bank,29
268,even_though,South Indian bank,55
269,would_like,South Indian bank,44
270,send_letter,South Indian bank,40
271,never_receive,South Indian bank,35
272,monthly_payment,South Indian bank,25
273,reporting_agency,South Indian bank,15
274,identity_theft,South Indian bank,10
275,phone_number,South Indian bank,33
276,pay_full,South Indian bank,17
277,tell_would,South Indian bank,41
278,file_complaint,South Indian bank,32
279,past_due,South Indian bank,14
280,payment_make,South Indian bank,31
281,credit_bureau,South Indian bank,26
282,remove_credit,South Indian bank,7
283,social_security,South Indian bank,20
284,mortgage_payment,South Indian bank,37
285,please_help,South Indian bank,35
286,several_time,South Indian bank,28
287,credit_file,South Indian bank,7
288,year_ago,South Indian bank,33
289,say_would,South Indian bank,31
290,debt_collection,South Indian bank,9
291,mortgage_company,South Indian bank,12
292,debt_collector,South Indian bank,10
293,collect_debt,South Indian bank,9
294,receive_call,South Indian bank,24
295,try_get,South Indian bank,29
296,short_sale,South Indian bank,26
297,information_credit,South Indian bank,8
298,day_late,South Indian bank,31
299,us_bank,South Indian bank,10
300,credit_report,Federal bank,63
301,credit_card,Federal bank,19
302,make_payment,Federal bank,132
303,customer_service,Federal bank,41
304,credit_reporting,Federal bank,8
305,call_back,Federal bank,36
306,phone_call,Federal bank,64
307,collection_agency,Federal bank,17
308,credit_bureaus,Federal bank,24
309,credit_score,Federal bank,36
310,30_day,Federal bank,8
311,student_loan,Federal bank,273
312,report_credit,Federal bank,25
313,interest_rate,Federal bank,94
314,receive_letter,Federal bank,14
315,loan_modification,Federal bank,3
316,late_payment,Federal bank,33
317,late_fee,Federal bank,31
318,even_though,Federal bank,59
319,would_like,Federal bank,31
320,send_letter,Federal bank,17
321,never_receive,Federal bank,24
322,monthly_payment,Federal bank,99
323,reporting_agency,Federal bank,6
324,identity_theft,Federal bank,2
325,phone_number,Federal bank,19
326,pay_full,Federal bank,28
327,tell_would,Federal bank,42
328,file_complaint,Federal bank,12
329,past_due,Federal bank,30
330,payment_make,Federal bank,39
331,credit_bureau,Federal bank,33
332,remove_credit,Federal bank,9
333,social_security,Federal bank,12
334,mortgage_payment,Federal bank,2
335,please_help,Federal bank,28
336,several_time,Federal bank,36
337,credit_file,Federal bank,3
338,year_ago,Federal bank,52
339,say_would,Federal bank,23
340,debt_collection,Federal bank,9
341,mortgage_company,Federal bank,4
342,debt_collector,Federal bank,8
343,collect_debt,Federal bank,6
344,receive_call,Federal bank,11
345,try_get,Federal bank,32
346,short_sale,Federal bank,0
347,information_credit,Federal bank,6
348,day_late,Federal bank,24
349,us_bank,Federal bank,0
350,credit_report,IDBI Bank,89
351,credit_card,IDBI Bank,262
352,make_payment,IDBI Bank,88
353,customer_service,IDBI Bank,99
354,credit_reporting,IDBI Bank,19
355,call_back,IDBI Bank,33
356,phone_call,IDBI Bank,59
357,collection_agency,IDBI Bank,18
358,credit_bureaus,IDBI Bank,26
359,credit_score,IDBI Bank,52
360,30_day,IDBI Bank,39
361,student_loan,IDBI Bank,6
362,report_credit,IDBI Bank,26
363,interest_rate,IDBI Bank,26
364,receive_letter,IDBI Bank,48
365,loan_modification,IDBI Bank,19
366,late_payment,IDBI Bank,36
367,late_fee,IDBI Bank,62
368,even_though,IDBI Bank,49
369,would_like,IDBI Bank,40
370,send_letter,IDBI Bank,28
371,never_receive,IDBI Bank,44
372,monthly_payment,IDBI Bank,18
373,reporting_agency,IDBI Bank,10
374,identity_theft,IDBI Bank,12
375,phone_number,IDBI Bank,32
376,pay_full,IDBI Bank,31
377,tell_would,IDBI Bank,50
378,file_complaint,IDBI Bank,28
379,past_due,IDBI Bank,23
380,payment_make,IDBI Bank,32
381,credit_bureau,IDBI Bank,36
382,remove_credit,IDBI Bank,12
383,social_security,IDBI Bank,19
384,mortgage_payment,IDBI Bank,9
385,please_help,IDBI Bank,39
386,several_time,IDBI Bank,23
387,credit_file,IDBI Bank,7
388,year_ago,IDBI Bank,20
389,say_would,IDBI Bank,41
390,debt_collection,IDBI Bank,7
391,mortgage_company,IDBI Bank,5
392,debt_collector,IDBI Bank,6
393,collect_debt,IDBI Bank,8
394,receive_call,IDBI Bank,21
395,try_get,IDBI Bank,14
396,short_sale,IDBI Bank,8
397,information_credit,IDBI Bank,3
398,day_late,IDBI Bank,25
399,us_bank,IDBI Bank,4
400,credit_report,Syndicate bank,82
401,credit_card,Syndicate bank,194
402,make_payment,Syndicate bank,51
403,customer_service,Syndicate bank,61
404,credit_reporting,Syndicate bank,12
405,call_back,Syndicate bank,45
406,phone_call,Syndicate bank,42
407,collection_agency,Syndicate bank,5
408,credit_bureaus,Syndicate bank,13
409,credit_score,Syndicate bank,29
410,30_day,Syndicate bank,28
411,student_loan,Syndicate bank,5
412,report_credit,Syndicate bank,29
413,interest_rate,Syndicate bank,29
414,receive_letter,Syndicate bank,36
415,loan_modification,Syndicate bank,31
416,late_payment,Syndicate bank,20
417,late_fee,Syndicate bank,23
418,even_though,Syndicate bank,40
419,would_like,Syndicate bank,36
420,send_letter,Syndicate bank,28
421,never_receive,Syndicate bank,32
422,monthly_payment,Syndicate bank,27
423,reporting_agency,Syndicate bank,10
424,identity_theft,Syndicate bank,15
425,phone_number,Syndicate bank,24
426,pay_full,Syndicate bank,18
427,tell_would,Syndicate bank,36
428,file_complaint,Syndicate bank,32
429,past_due,Syndicate bank,16
430,payment_make,Syndicate bank,29
431,credit_bureau,Syndicate bank,25
432,remove_credit,Syndicate bank,8
433,social_security,Syndicate bank,16
434,mortgage_payment,Syndicate bank,30
435,please_help,Syndicate bank,36
436,several_time,Syndicate bank,28
437,credit_file,Syndicate bank,9
438,year_ago,Syndicate bank,27
439,say_would,Syndicate bank,35
440,debt_collection,Syndicate bank,11
441,mortgage_company,Syndicate bank,10
442,debt_collector,Syndicate bank,9
443,collect_debt,Syndicate bank,5
444,receive_call,Syndicate bank,18
445,try_get,Syndicate bank,22
446,short_sale,Syndicate bank,22
447,information_credit,Syndicate bank,10
448,day_late,Syndicate bank,36
449,us_bank,Syndicate bank,3
450,credit_report,Fino payment bank,98
451,credit_card,Fino payment bank,175
452,make_payment,Fino payment bank,51
453,customer_service,Fino payment bank,33
454,credit_reporting,Fino payment bank,20
455,call_back,Fino payment bank,32
456,phone_call,Fino payment bank,20
457,collection_agency,Fino payment bank,5
458,credit_bureaus,Fino payment bank,24
459,credit_score,Fino payment bank,21
460,30_day,Fino payment bank,30
461,student_loan,Fino payment bank,1
462,report_credit,Fino payment bank,27
463,interest_rate,Fino payment bank,22
464,receive_letter,Fino payment bank,15
465,loan_modification,Fino payment bank,1
466,late_payment,Fino payment bank,33
467,late_fee,Fino payment bank,39
468,even_though,Fino payment bank,31
469,would_like,Fino payment bank,29
470,send_letter,Fino payment bank,16
471,never_receive,Fino payment bank,19
472,monthly_payment,Fino payment bank,15
473,reporting_agency,Fino payment bank,14
474,identity_theft,Fino payment bank,11
475,phone_number,Fino payment bank,12
476,pay_full,Fino payment bank,22
477,tell_would,Fino payment bank,28
478,file_complaint,Fino payment bank,16
479,past_due,Fino payment bank,21
480,payment_make,Fino payment bank,16
481,credit_bureau,Fino payment bank,39
482,remove_credit,Fino payment bank,16
483,social_security,Fino payment bank,17
484,mortgage_payment,Fino payment bank,2
485,please_help,Fino payment bank,15
486,several_time,Fino payment bank,16
487,credit_file,Fino payment bank,10
488,year_ago,Fino payment bank,14
489,say_would,Fino payment bank,18
490,debt_collection,Fino payment bank,2
491,mortgage_company,Fino payment bank,2
492,debt_collector,Fino payment bank,6
493,collect_debt,Fino payment bank,5
494,receive_call,Fino payment bank,19
495,try_get,Fino payment bank,15
496,short_sale,Fino payment bank,3
497,information_credit,Fino payment bank,6
498,day_late,Fino payment bank,26
499,us_bank,Fino payment bank,1
500,credit_report,Paytm payments bank,69
501,credit_card,Paytm payments bank,119
502,make_payment,Paytm payments bank,41
503,customer_service,Paytm payments bank,31
504,credit_reporting,Paytm payments bank,15
505,call_back,Paytm payments bank,13
506,phone_call,Paytm payments bank,18
507,collection_agency,Paytm payments bank,12
508,credit_bureaus,Paytm payments bank,23
509,credit_score,Paytm payments bank,30
510,30_day,Paytm payments bank,16
511,student_loan,Paytm payments bank,0
512,report_credit,Paytm payments bank,11
513,interest_rate,Paytm payments bank,16
514,receive_letter,Paytm payments bank,16
515,loan_modification,Paytm payments bank,0
516,late_payment,Paytm payments bank,20
517,late_fee,Paytm payments bank,44
518,even_though,Paytm payments bank,22
519,would_like,Paytm payments bank,14
520,send_letter,Paytm payments bank,11
521,never_receive,Paytm payments bank,15
522,monthly_payment,Paytm payments bank,9
523,reporting_agency,Paytm payments bank,7
524,identity_theft,Paytm payments bank,5
525,phone_number,Paytm payments bank,11
526,pay_full,Paytm payments bank,26
527,tell_would,Paytm payments bank,6
528,file_complaint,Paytm payments bank,11
529,past_due,Paytm payments bank,18
530,payment_make,Paytm payments bank,17
531,credit_bureau,Paytm payments bank,27
532,remove_credit,Paytm payments bank,12
533,social_security,Paytm payments bank,10
534,mortgage_payment,Paytm payments bank,0
535,please_help,Paytm payments bank,18
536,several_time,Paytm payments bank,13
537,credit_file,Paytm payments bank,6
538,year_ago,Paytm payments bank,10
539,say_would,Paytm payments bank,8
540,debt_collection,Paytm payments bank,4
541,mortgage_company,Paytm payments bank,1
542,debt_collector,Paytm payments bank,7
543,collect_debt,Paytm payments bank,5
544,receive_call,Paytm payments bank,13
545,try_get,Paytm payments bank,6
546,short_sale,Paytm payments bank,0
547,information_credit,Paytm payments bank,10
548,day_late,Paytm payments bank,10
549,us_bank,Paytm payments bank,1
